time_ns,x,y,z,roll,pitch,yaw
1760679846739610665,-0.0502417,2.03732e-07,0.077111,-4.25776e-05,0.103985,3.9247e-05
1760679846740608935,-0.0502417,2.03732e-07,0.077111,-4.25776e-05,0.103985,3.9247e-05
1760679846742606728,-0.0502417,2.16371e-07,0.077111,-4.24094e-05,0.103985,3.92473e-05
1760679846743605500,-0.0502417,2.16371e-07,0.077111,-4.24094e-05,0.103985,3.92473e-05
1760679846744610883,-0.0502417,2.22672e-07,0.077111,-4.23255e-05,0.103985,3.92475e-05
1760679846745620145,-0.0502417,2.22672e-07,0.077111,-4.23255e-05,0.103985,3.92475e-05
1760679846746609127,-0.0502417,2.28962e-07,0.077111,-4.22418e-05,0.103985,3.92477e-05
1760679846747606355,-0.0502417,2.28962e-07,0.077111,-4.22418e-05,0.103985,3.92477e-05
1760679846748605457,-0.0502417,2.35239e-07,0.077111,-4.21583e-05,0.103985,3.92479e-05
1760679846749606613,-0.0502417,2.35239e-07,0.077111,-4.21583e-05,0.103985,3.92479e-05
1760679846750608841,-0.0502417,2.35239e-07,0.077111,-4.21583e-05,0.103985,3.92479e-05
1760679846751613924,-0.0502417,2.41505e-07,0.077111,-4.20749e-05,0.103985,3.92481e-05
1760679846752611734,-0.0502417,2.41505e-07,0.077111,-4.20749e-05,0.103985,3.92481e-05
1760679846754608835,-0.0502417,2.54e-07,0.077111,-4.19086e-05,0.103985,3.92484e-05
1760679846755607827,-0.0502417,2.54e-07,0.077111,-4.19086e-05,0.103985,3.92484e-05
1760679846756608552,-0.0502417,2.60229e-07,0.077111,-4.18256e-05,0.103985,3.92486e-05
1760679846757610710,-0.0502417,2.60229e-07,0.077111,-4.18256e-05,0.103985,3.92486e-05
1760679846758610914,-0.0502417,2.66447e-07,0.077111,-4.17429e-05,0.103985,3.92488e-05
1760679846759609094,-0.0502417,2.66447e-07,0.077111,-4.17429e-05,0.103985,3.92488e-05
1760679846760609788,-0.0502417,2.72653e-07,0.077111,-4.16603e-05,0.103985,3.92489e-05
1760679846761609391,-0.0502417,2.72653e-07,0.077111,-4.16603e-05,0.103985,3.92489e-05
1760679846762609906,-0.0502417,2.72653e-07,0.077111,-4.16603e-05,0.103985,3.92489e-05
1760679846763609489,-0.0502417,2.78847e-07,0.077111,-4.15778e-05,0.103985,3.92491e-05
1760679846764612458,-0.0502417,2.8503e-07,0.077111,-4.14955e-05,0.103985,3.92493e-05
1760679846765611971,-0.0502417,2.8503e-07,0.077111,-4.14955e-05,0.103985,3.92493e-05
1760679846767963153,-0.0502417,2.912e-07,0.077111,-4.14134e-05,0.103985,3.92495e-05
1760679846771672567,-0.0502417,3.03506e-07,0.0771109,-4.12496e-05,0.103985,3.92498e-05
1760679846772629108,-0.0502417,3.03506e-07,0.0771109,-4.12496e-05,0.103985,3.92498e-05
1760679846773634201,-0.0502417,3.03506e-07,0.0771109,-4.12496e-05,0.103985,3.92498e-05
1760679846774663440,-0.0502417,3.15764e-07,0.0771109,-4.10864e-05,0.103985,3.92501e-05
1760679846776622600,-0.0502417,3.21876e-07,0.0771109,-4.1005e-05,0.103985,3.92503e-05
1760679846777606944,-0.0502417,3.21876e-07,0.0771109,-4.1005e-05,0.103985,3.92503e-05
1760679846778609713,-0.0502417,3.27976e-07,0.0771109,-4.09238e-05,0.103985,3.92505e-05
1760679846779607883,-0.0502417,3.27976e-07,0.0771109,-4.09238e-05,0.103985,3.92505e-05
1760679846780610151,-0.0502417,3.34065e-07,0.0771109,-4.08428e-05,0.103985,3.92507e-05
1760679846781610886,-0.0502417,3.34065e-07,0.0771109,-4.08428e-05,0.103985,3.92507e-05
1760679846783521414,-0.0502417,3.40141e-07,0.0771109,-4.07619e-05,0.103985,3.92508e-05
1760679846784611057,-0.0502417,3.46206e-07,0.0771109,-4.06811e-05,0.103985,3.9251e-05
1760679846785605881,-0.0502417,3.46206e-07,0.0771109,-4.06811e-05,0.103985,3.9251e-05
1760679846786612016,-0.0502417,3.5226e-07,0.0771109,-4.06005e-05,0.103985,3.92512e-05
1760679846788613796,-0.0502417,3.58302e-07,0.0771109,-4.05201e-05,0.103985,3.92514e-05
1760679846789610073,-0.0502417,3.58302e-07,0.0771109,-4.05201e-05,0.103985,3.92514e-05
1760679846790612712,-0.0502417,3.64332e-07,0.0771109,-4.04398e-05,0.103985,3.92515e-05
1760679846791612835,-0.0502417,3.64332e-07,0.0771109,-4.04398e-05,0.103985,3.92515e-05
1760679846792611526,-0.0502417,3.64332e-07,0.0771109,-4.04398e-05,0.103985,3.92515e-05
1760679846793608815,-0.0502417,3.70351e-07,0.0771109,-4.03597e-05,0.103985,3.92517e-05
1760679846794610802,-0.0502417,3.76358e-07,0.0771109,-4.02797e-05,0.103985,3.92519e-05
1760679846795607920,-0.0502417,3.76358e-07,0.0771109,-4.02797e-05,0.103985,3.92519e-05
1760679846796611962,-0.0502417,3.82353e-07,0.0771109,-4.01999e-05,0.103985,3.9252e-05
1760679846797609841,-0.0502417,3.82353e-07,0.0771109,-4.01999e-05,0.103985,3.9252e-05
1760679846798611448,-0.0502417,3.88337e-07,0.0771109,-4.01202e-05,0.103985,3.92522e-05
1760679846800611094,-0.0502417,3.9431e-07,0.0771109,-4.00407e-05,0.103985,3.92524e-05
1760679846801605978,-0.0502417,3.9431e-07,0.0771109,-4.00407e-05,0.103985,3.92524e-05
1760679846802610520,-0.0502417,3.9431e-07,0.0771109,-4.00407e-05,0.103985,3.92524e-05
1760679846803610875,-0.0502417,4.00271e-07,0.0771109,-3.99613e-05,0.103985,3.92525e-05
1760679846804611339,-0.0502417,4.06221e-07,0.0771109,-3.98821e-05,0.103985,3.92527e-05
1760679846805606974,-0.0502417,4.06221e-07,0.0771109,-3.98821e-05,0.103985,3.92527e-05
1760679846806610775,-0.0502417,4.12159e-07,0.0771109,-3.9803e-05,0.103985,3.92529e-05
1760679846807609556,-0.0502417,4.12159e-07,0.0771109,-3.9803e-05,0.103985,3.92529e-05
1760679846808607867,-0.0502417,4.18086e-07,0.0771109,-3.97241e-05,0.103985,3.9253e-05
1760679846809605326,-0.0502417,4.18086e-07,0.0771109,-3.97241e-05,0.103985,3.9253e-05
1760679846810610459,-0.0502417,4.24002e-07,0.0771109,-3.96454e-05,0.103985,3.92532e-05
1760679846811611565,-0.0502417,4.24002e-07,0.0771109,-3.96454e-05,0.103985,3.92532e-05
1760679846813610560,-0.0502417,4.29906e-07,0.0771109,-3.95668e-05,0.103985,3.92534e-05
1760679846814608920,-0.0502417,4.35798e-07,0.0771109,-3.94883e-05,0.103985,3.92535e-05
1760679846815612230,-0.0502417,4.35798e-07,0.0771109,-3.94883e-05,0.103985,3.92535e-05
1760679846816606924,-0.0502417,4.4168e-07,0.0771109,-3.941e-05,0.103985,3.92537e-05
1760679846817611366,-0.0502417,4.4168e-07,0.0771109,-3.941e-05,0.103985,3.92537e-05
1760679846818619645,-0.0502417,4.4755e-07,0.0771109,-3.93318e-05,0.103985,3.92539e-05
1760679846819610301,-0.0502417,4.4755e-07,0.0771109,-3.93318e-05,0.103985,3.92539e-05
1760679846820609833,-0.0502417,4.53408e-07,0.0771109,-3.92538e-05,0.103985,3.9254e-05
1760679846821612201,-0.0502417,4.53408e-07,0.0771109,-3.92538e-05,0.103985,3.9254e-05
1760679846822609059,-0.0502417,4.53408e-07,0.0771109,-3.92538e-05,0.103985,3.9254e-05
1760679846823607510,-0.0502417,4.59256e-07,0.0771109,-3.9176e-05,0.103985,3.92542e-05
1760679846824607503,-0.0502417,4.65092e-07,0.0771109,-3.90982e-05,0.103985,3.92544e-05
1760679846826609364,-0.0502417,4.70917e-07,0.0771108,-3.90207e-05,0.103985,3.92545e-05
1760679846827608807,-0.0502417,4.70917e-07,0.0771108,-3.90207e-05,0.103985,3.92545e-05
1760679846828606606,-0.0502417,4.76731e-07,0.0771108,-3.89433e-05,0.103985,3.92547e-05
1760679846829605397,-0.0502417,4.76731e-07,0.0771108,-3.89433e-05,0.103985,3.92547e-05
1760679846830605671,-0.0502417,4.82533e-07,0.0771108,-3.8866e-05,0.103985,3.92549e-05
1760679846831608360,-0.0502417,4.82533e-07,0.0771108,-3.8866e-05,0.103985,3.92549e-05
1760679846832607893,-0.0502417,4.88325e-07,0.0771108,-3.87889e-05,0.103985,3.9255e-05
1760679846833683540,-0.0502417,4.88325e-07,0.0771108,-3.87889e-05,0.103985,3.9255e-05
1760679846835753539,-0.0502417,4.88325e-07,0.0771108,-3.87889e-05,0.103985,3.9255e-05
1760679846837629652,-0.0502417,4.88325e-07,0.0771108,-3.87889e-05,0.103985,3.9255e-05
1760679846838626670,-0.0502417,4.88325e-07,0.0771108,-3.87889e-05,0.103985,3.9255e-05
1760679846839622886,-0.0502417,5.05631e-07,0.0771108,-3.85584e-05,0.103986,3.92555e-05
1760679846840624974,-0.0502417,5.11378e-07,0.0771108,-3.84819e-05,0.103986,3.92557e-05
1760679846841609358,-0.0502417,5.11378e-07,0.0771108,-3.84819e-05,0.103986,3.92557e-05
1760679846842606947,-0.0502417,5.11378e-07,0.0771108,-3.84819e-05,0.103986,3.92557e-05
1760679846843605668,-0.0502417,5.17114e-07,0.0771108,-3.84055e-05,0.103986,3.92558e-05
1760679846844605211,-0.0502417,5.22838e-07,0.0771108,-3.83293e-05,0.103986,3.9256e-05
1760679846845609723,-0.0502417,5.22838e-07,0.0771108,-3.83293e-05,0.103986,3.9256e-05
1760679846846608925,-0.0502417,5.28552e-07,0.0771108,-3.82532e-05,0.103986,3.92562e-05
1760679846847608608,-0.0502417,5.28552e-07,0.0771108,-3.82532e-05,0.103986,3.92562e-05
1760679846849609607,-0.0502417,5.34254e-07,0.0771108,-3.81772e-05,0.103986,3.92563e-05
1760679846850609400,-0.0502418,5.39945e-07,0.0771108,-3.81014e-05,0.103986,3.92565e-05
1760679846851608492,-0.0502418,5.39945e-07,0.0771108,-3.81014e-05,0.103986,3.92565e-05
1760679846852609728,-0.0502418,5.39945e-07,0.0771108,-3.81014e-05,0.103986,3.92565e-05
1760679846853607116,-0.0502418,5.45626e-07,0.0771108,-3.80258e-05,0.103986,3.92566e-05
1760679846854608743,-0.0502418,5.51295e-07,0.0771108,-3.79503e-05,0.103986,3.92568e-05
1760679846855606703,-0.0502418,5.51295e-07,0.0771108,-3.79503e-05,0.103986,3.92568e-05
1760679846856609311,-0.0502418,5.56954e-07,0.0771108,-3.78749e-05,0.103986,3.9257e-05
1760679846857605367,-0.0502418,5.56954e-07,0.0771108,-3.78749e-05,0.103986,3.9257e-05
1760679846858610250,-0.0502418,5.62601e-07,0.0771108,-3.77997e-05,0.103986,3.92571e-05
1760679846859608060,-0.0502418,5.62601e-07,0.0771108,-3.77997e-05,0.103986,3.92571e-05
1760679846861610041,-0.0502418,5.68238e-07,0.0771108,-3.77246e-05,0.103986,3.92573e-05
1760679846862608862,-0.0502418,5.68238e-07,0.0771108,-3.77246e-05,0.103986,3.92573e-05
1760679846863608665,-0.0502418,5.73864e-07,0.0771108,-3.76497e-05,0.103986,3.92574e-05
1760679846864609310,-0.0502418,5.79479e-07,0.0771108,-3.75749e-05,0.103986,3.92576e-05
1760679846865606849,-0.0502418,5.79479e-07,0.0771108,-3.75749e-05,0.103986,3.92576e-05
1760679846866606732,-0.0502418,5.85083e-07,0.0771108,-3.75003e-05,0.103986,3.92577e-05
1760679846867605023,-0.0502418,5.85083e-07,0.0771108,-3.75003e-05,0.103986,3.92577e-05
1760679846868608272,-0.0502418,5.90676e-07,0.0771108,-3.74258e-05,0.103986,3.92579e-05
1760679846869609077,-0.0502418,5.90676e-07,0.0771108,-3.74258e-05,0.103986,3.92579e-05
1760679846870609592,-0.0502418,5.96259e-07,0.0771108,-3.73514e-05,0.103986,3.92581e-05
1760679846871608975,-0.0502418,5.96259e-07,0.0771108,-3.73514e-05,0.103986,3.92581e-05
1760679846872613116,-0.0502418,5.96259e-07,0.0771108,-3.73514e-05,0.103986,3.92581e-05
1760679846874617842,-0.0502418,6.07391e-07,0.0771108,-3.72031e-05,0.103986,3.92584e-05
1760679846875605362,-0.0502418,6.07391e-07,0.0771108,-3.72031e-05,0.103986,3.92584e-05
1760679846876610636,-0.0502418,6.12941e-07,0.0771108,-3.71292e-05,0.103986,3.92585e-05
1760679846877618855,-0.0502418,6.12941e-07,0.0771108,-3.71292e-05,0.103986,3.92585e-05
1760679846878608529,-0.0502418,6.18481e-07,0.0771108,-3.70554e-05,0.103986,3.92587e-05
1760679846879607200,-0.0502418,6.18481e-07,0.0771108,-3.70554e-05,0.103986,3.92587e-05
1760679846880607524,-0.0502418,6.2401e-07,0.0771108,-3.69818e-05,0.103986,3.92588e-05
1760679846881606095,-0.0502418,6.2401e-07,0.0771108,-3.69818e-05,0.103986,3.92588e-05
1760679846882607291,-0.0502418,6.2401e-07,0.0771108,-3.69818e-05,0.103986,3.92588e-05
1760679846883606212,-0.0502418,6.29528e-07,0.0771108,-3.69083e-05,0.103986,3.9259e-05
1760679846884610684,-0.0502418,6.35035e-07,0.0771108,-3.68349e-05,0.103986,3.92591e-05
1760679846892138649,-0.0502418,6.40532e-07,0.0771108,-3.67617e-05,0.103986,3.92593e-05
1760679846892643675,-0.0502418,6.56959e-07,0.0771107,-3.65429e-05,0.103986,3.92597e-05
1760679846893626186,-0.0502418,6.56959e-07,0.0771107,-3.65429e-05,0.103986,3.92597e-05
1760679846895620753,-0.0502418,6.62413e-07,0.0771107,-3.64702e-05,0.103986,3.92599e-05
1760679846896614775,-0.0502418,6.62413e-07,0.0771107,-3.64702e-05,0.103986,3.92599e-05
1760679846897611663,-0.0502418,6.67857e-07,0.0771107,-3.63977e-05,0.103986,3.92601e-05
1760679846898857642,-0.0502418,6.67857e-07,0.0771107,-3.63977e-05,0.103986,3.92601e-05
1760679846899611449,-0.0502418,6.7329e-07,0.0771107,-3.63253e-05,0.103986,3.92602e-05
1760679846900608688,-0.0502418,6.78713e-07,0.0771107,-3.62531e-05,0.103986,3.92604e-05
1760679846901611196,-0.0502418,6.78713e-07,0.0771107,-3.62531e-05,0.103986,3.92604e-05
