time_ns,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1760679849896933375,-0.134872,1.22372,-2.72302,0.134921,1.22369,-2.723,-0.480469,1.68258,-2.72414,0.48047,1.68205,-2.72417
1760679849898026826,-0.134872,1.22372,-2.72302,0.134921,1.22369,-2.723,-0.480469,1.68258,-2.72414,0.48047,1.68205,-2.72417
1760679849899141877,-0.134871,1.22372,-2.72302,0.134921,1.22369,-2.723,-0.48047,1.68258,-2.72414,0.480471,1.68205,-2.72417
1760679849900230749,-0.134871,1.22372,-2.72302,0.134921,1.22369,-2.723,-0.48047,1.68258,-2.72414,0.480471,1.68205,-2.72417
1760679849901324209,-0.134871,1.22372,-2.72302,0.13492,1.22369,-2.723,-0.48047,1.68258,-2.72414,0.480471,1.68205,-2.72417
1760679849902419754,-0.134871,1.22372,-2.72302,0.13492,1.22369,-2.723,-0.48047,1.68258,-2.72414,0.480471,1.68205,-2.72417
1760679849903516451,-0.13487,1.22372,-2.72302,0.134919,1.22369,-2.723,-0.48047,1.68258,-2.72414,0.480472,1.68205,-2.72417
1760679849904699090,-0.13487,1.22372,-2.72302,0.134919,1.22369,-2.723,-0.48047,1.68258,-2.72414,0.480472,1.68205,-2.72417
1760679849905845320,-0.13487,1.22372,-2.72302,0.134919,1.22369,-2.723,-0.480471,1.68258,-2.72414,0.480472,1.68205,-2.72417
1760679849906939502,-0.13487,1.22372,-2.72302,0.134919,1.22369,-2.723,-0.480471,1.68258,-2.72414,0.480472,1.68205,-2.72417
1760679849911229526,-0.134869,1.22372,-2.72302,0.134918,1.22369,-2.723,-0.480471,1.68257,-2.72414,0.480473,1.68204,-2.72417
1760679849911994043,-0.134869,1.22372,-2.72302,0.134918,1.22369,-2.723,-0.480471,1.68257,-2.72414,0.480473,1.68204,-2.72417
1760679849913099467,-0.134868,1.22372,-2.72302,0.134917,1.22369,-2.723,-0.480472,1.68257,-2.72414,0.480474,1.68204,-2.72417
1760679849914385432,-0.134868,1.22372,-2.72302,0.134917,1.22369,-2.723,-0.480472,1.68257,-2.72414,0.480474,1.68204,-2.72417
1760679849915273313,-0.134868,1.22372,-2.72302,0.134917,1.22369,-2.723,-0.480472,1.68257,-2.72414,0.480474,1.68204,-2.72417
1760679849916387673,-0.134867,1.22372,-2.72302,0.134915,1.22369,-2.723,-0.480473,1.68257,-2.72414,0.480475,1.68204,-2.72417
1760679849917485532,-0.134867,1.22372,-2.72302,0.134915,1.22369,-2.723,-0.480473,1.68257,-2.72414,0.480475,1.68204,-2.72417
1760679849918581978,-0.134867,1.22372,-2.72302,0.134915,1.22369,-2.723,-0.480473,1.68257,-2.72414,0.480475,1.68204,-2.72417
1760679849919669718,-0.134866,1.22372,-2.72302,0.134914,1.22369,-2.723,-0.480474,1.68257,-2.72414,0.480476,1.68204,-2.72417
1760679849920783367,-0.134866,1.22372,-2.72302,0.134914,1.22369,-2.723,-0.480474,1.68257,-2.72414,0.480476,1.68204,-2.72417
1760679849921882007,-0.134866,1.22372,-2.72302,0.134914,1.22369,-2.723,-0.480474,1.68257,-2.72414,0.480476,1.68204,-2.72417
1760679849922987480,-0.134865,1.22372,-2.72302,0.134913,1.22369,-2.723,-0.480475,1.68256,-2.72414,0.480477,1.68203,-2.72417
1760679849924073467,-0.134865,1.22372,-2.72302,0.134913,1.22369,-2.723,-0.480475,1.68256,-2.72414,0.480477,1.68203,-2.72417
1760679849925151859,-0.134865,1.22372,-2.72302,0.134912,1.22369,-2.72301,-0.480475,1.68256,-2.72414,0.480477,1.68203,-2.72417
1760679849926235551,-0.134865,1.22372,-2.72302,0.134912,1.22369,-2.72301,-0.480475,1.68256,-2.72414,0.480477,1.68203,-2.72417
1760679849927327418,-0.134865,1.22372,-2.72302,0.134912,1.22369,-2.72301,-0.480475,1.68256,-2.72414,0.480477,1.68203,-2.72417
1760679849928416541,-0.134864,1.22372,-2.72302,0.134912,1.22369,-2.72301,-0.480476,1.68256,-2.72414,0.480478,1.68203,-2.72417
1760679849929502597,-0.134864,1.22372,-2.72302,0.134911,1.22369,-2.72301,-0.480476,1.68256,-2.72414,0.480478,1.68203,-2.72417
1760679849930596018,-0.134864,1.22372,-2.72302,0.134911,1.22369,-2.72301,-0.480476,1.68256,-2.72414,0.480478,1.68203,-2.72417
1760679849931686963,-0.134864,1.22372,-2.72302,0.13491,1.22369,-2.72301,-0.480476,1.68256,-2.72414,0.480479,1.68203,-2.72417
1760679849932779723,-0.134863,1.22372,-2.72302,0.13491,1.22369,-2.72301,-0.480477,1.68256,-2.72414,0.480479,1.68203,-2.72417
1760679849933885477,-0.134863,1.22372,-2.72302,0.13491,1.22369,-2.72301,-0.480477,1.68256,-2.72414,0.480479,1.68203,-2.72417
1760679849934981933,-0.134863,1.22372,-2.72303,0.134909,1.22369,-2.72301,-0.480477,1.68256,-2.72414,0.480479,1.68203,-2.72417
1760679849936076455,-0.134863,1.22372,-2.72303,0.134909,1.22369,-2.72301,-0.480477,1.68256,-2.72414,0.480479,1.68203,-2.72417
1760679849937159256,-0.134863,1.22372,-2.72303,0.134909,1.22369,-2.72301,-0.480477,1.68256,-2.72414,0.480479,1.68203,-2.72417
